"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"220","14","41397047147","837085811","thedarkice7","thedarkice7","514858","League of Legends: Wild Rift","live","CLASIFICATORIAS!! (saliendo de platino)","1","2022-10-16T08:25:36Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_thedarkice7-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"221","15","39770737175","837763723","mangondato","mangondato","514858","League of Legends: Wild Rift","live","BHOKZ","1","2022-10-16T08:41:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mangondato-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"222","16","41397044635","2535351","ragh9364","ragh9364","514858","League of Legends: Wild Rift","live","LIVE from my iPhone 3GS!","1","2022-10-16T08:24:22Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ragh9364-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"223","17","39953790232","265945967","lakeofnats","lakeofnats","514858","League of Legends: Wild Rift","live","Курьерский стрим","1","2022-10-16T08:23:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_lakeofnats-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"224","18","39770706071","725225764","agibul","agibul","514858","League of Legends: Wild Rift","live","lolli pop","1","2022-10-16T08:28:18Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_agibul-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""411e3710-decb-46fa-8f15-b4089a4441a5"")","FALSE"
"225","1","40371941897","127661213","callmetog","CallMeTOG","514858","League of Legends: Wild Rift","live","Challenger Jungle Solo Q ---- 469 Hour Stream","100","2022-10-19T20:46:21Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_callmetog-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"226","2","47333338781","127133374","zinwr","ZinWR","514858","League of Legends: Wild Rift","live","THEY BUFFED MY BABY KAISA! Also, New Thresh YT Vid is out ➤!newvid !youtube","78","2022-10-20T03:08:20Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_zinwr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"227","3","40374163017","509756922","painwr","PainWR","514858","League of Legends: Wild Rift","live","NEW DAY NEW RANK STREAK? - ROAD TO TOP 1 VAYNE/DARIUS","49","2022-10-20T02:57:06Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_painwr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"", ""e85e4ccb-41fa-45b4-9c3a-f37807af3a5a"", ""e1a43486-eee5-4f36-9ee6-76e72af00180"")","FALSE"
"228","4","40374207353","699567823","hellblazerwr","HellBlaZerWR","514858","League of Legends: Wild Rift","live","Skin !giveaway ⭐ Grandmaster Sup ~ New season! ⭐ !discord !socials","22","2022-10-20T03:04:07Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_hellblazerwr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"229","5","47333072141","30247859","storieswr","storieswr","514858","League of Legends: Wild Rift","live","Challenger ADC Smiling Through The Pain Of AFKs & Griefers","9","2022-10-20T02:28:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_storieswr-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
