"","rank","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"209","9","41380541275","103468407","meowjennycat","meowjennycat","513181","Genshin Impact","live","Moar Questing! | 🛑😾 NOT Keqing !socials","77","2022-10-12T04:36:44Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_meowjennycat-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"210","10","41379991307","99818804","surirasu","Surirasu","513181","Genshin Impact","live","IM BACK FROM TWITCHCON~ Some chill Genshin farming, then maybe some  Overwatch 2 finally?","62","2022-10-12T02:18:53Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_surirasu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"211","11","41380418139","77243260","jineos","jineos","513181","Genshin Impact","live","HELP I'M BEHIND ON EVERYTHING","59","2022-10-12T04:02:56Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jineos-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""9b622d9c-a3e6-4a1c-96b9-679c983bf909"")","FALSE"
"212","12","41379512443","602001900","haruutoki","Haruutoki","513181","Genshin Impact","live","manifesting wallet for nilou | !socials !discord","55","2022-10-12T01:00:11Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_haruutoki-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","TRUE"
"213","13","41379571899","72668981","faecakes","faecakes","513181","Genshin Impact","live","Look what the cat dragged in from Twitch Con [DROPS ENABLED] | !socials !patreon !comic","53","2022-10-12T01:06:00Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_faecakes-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""8bbdb07d-df18-4f82-a928-04a9003e9a7e"", ""52d7e4cc-633d-46f5-818c-bb59102d9549"", ""1d712738-c298-4ff9-9c15-671ae9a77b7c"", ""02ba4017-ed3b-4b82-ab20-011860784f77"", ""f2d10665-9980-452a-b091-f0ca30777d4b"")","FALSE"
"214","14","39759096471","740354284","komairui","komairui","513181","Genshin Impact","live","give me a 5 star now >:O","52","2022-10-12T04:08:02Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_komairui-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"215","15","41380138715","636588770","fiercerenegade","fiercerenegade","513181","Genshin Impact","live","Happy Pilipino American History Month! Nilou waiting room, forget meta.","50","2022-10-12T02:54:26Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_fiercerenegade-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""411e3710-decb-46fa-8f15-b4089a4441a5"", ""8556813d-991f-4707-9728-af816831271e"", ""8bbdb07d-df18-4f82-a928-04a9003e9a7e"", ""f8100026-2be8-46cd-9ed6-b92904e47898"", ""589c4c39-a3cc-41fa-b70c-bf0b735fa21f"")","FALSE"
"216","16","40336320969","144169459","souleaterwill","souleaterwill","513181","Genshin Impact","live","Genshin Impact 3.1 - Sumeru, Events, and MORE! | !discord !socials","46","2022-10-12T01:04:28Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_souleaterwill-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"217","17","41379935323","803112016","milo_no5","milo_no5","513181","Genshin Impact","live","im addicted to this game","44","2022-10-12T02:05:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_milo_no5-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2542d6d-cd10-4532-919b-3d19f30a768b"")","FALSE"
"218","18","40336977113","734396767","riceypot","Riceypot","513181","Genshin Impact","live","HAPPY CHEWSDAY!!!","39","2022-10-12T03:08:07Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_riceypot-{width}x{height}.jpg","list(""c2542d6d-cd10-4532-919b-3d19f30a768b"", ""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
