"","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"81","41384720363","675947056","baebeedahl","BaeBeeDahl","516575","VALORANT","live","corporate life horrors | !javy","26","2022-10-13T06:44:35Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_baebeedahl-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""38fe29d8-b8b9-446f-b2cb-47ef84098510"", ""40226bd9-e2f2-4f86-bde5-bb856d52a4f1"", ""2193eee1-b8f0-43bd-a6d9-dba8a67528a1"")","TRUE"
"82","46174080956","667796333","feibe3","feibe3","516575","VALORANT","live","be my dog | !org !sponsor !socials !feetpics","25","2022-10-13T18:51:07Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_feibe3-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"83","47297691277","564887228","mangubutt","mangubutt","516575","VALORANT","live","SOLO QUEUING MY SOUL OUT OF SILVER 2 || !rank !valmoney !tiktok2","25","2022-10-13T16:57:34Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_mangubutt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"", ""8bbdb07d-df18-4f82-a928-04a9003e9a7e"", ""353ab6ac-a0ee-404e-9bfa-217446b97718"", ""411e3710-decb-46fa-8f15-b4089a4441a5"", ""15530b1f-f40f-457c-8db2-23e0828518d9"")","TRUE"
"84","46173732092","480141468","itslinka","itsLinka","516575","VALORANT","live","THROWsday ♡ let's throw some elooo | !goal","25","2022-10-13T18:00:40Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_itslinka-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"85","46173078924","55043997","josyfka","josyfka","516575","VALORANT","live","HARBOR GAMEPLAY - early access customs ft. your favourite creators !socials !youtube","25","2022-10-13T15:45:32Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_josyfka-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"86","41385491835","218897207","plasify","Plasify","516575","VALORANT","live","synergy plasify | early morning stream vibes :) | !announcement !duo","25","2022-10-13T13:39:29Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_plasify-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"87","39763668583","160853177","unnessessary","unnessessary","516575","VALORANT","live","[Early Access Content] Thank you Riot! <3【EN/MY/华】","25","2022-10-13T16:46:36Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_unnessessary-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"88","41385711131","227853273","jazzmynngrace","jazzmynngrace","516575","VALORANT","live","New Bit Badges! Every sub/gifter gets their name on the board :)","24","2022-10-13T16:01:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_jazzmynngrace-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"89","47297663581","54663184","anderzztv","AnderzzTV","516575","VALORANT","live","Anderzz - Harbor Theory","24","2022-10-13T16:47:50Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_anderzztv-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"90","39763280951","604858408","aderxu","aderxu","516575","VALORANT","live","easy games","24","2022-10-13T14:07:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_aderxu-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
