"","...1","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1449","51","39929695336","225135452","khunaa","khunaa","516575","VALORANT","live","radiant ranked | Former Rank 1 | 70/150 SUBS | !twitter !GFUEL","35","2022-10-09T20:42:14Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_khunaa-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1450","52","40325832601","46712845","exalt","Exalt","516575","VALORANT","live","No Distractions  - !duo !blue rank","34","2022-10-09T20:22:30Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_exalt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1451","53","40325148441","210322477","thatsbreanna","thatsbreanna","516575","VALORANT","live","issa sunday funday YERRRRRRRRR ♡ !confessions !socials !discord ♡","32","2022-10-09T18:02:02Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_thatsbreanna-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1452","54","46160626876","667796333","feibe3","feibe3","516575","VALORANT","live","i have nice toes | !org !sponsor !socials !feetpics","31","2022-10-09T20:45:22Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_feibe3-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1453","55","41370255387","136399618","andrewonyx","andrewonyx","516575","VALORANT","live","VAL RANKED solo q 24 hr????| 300 SUB GOAL | down bad but losing =learning","31","2022-10-09T13:45:08Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_andrewonyx-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1454","56","39928913032","134537141","19hheo","19hheo","516575","VALORANT","live","last minute running it down comp !socials","30","2022-10-09T17:43:10Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_19hheo-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""2ffd5c3e-b927-4749-ba53-79d3b626b2da"", ""81e9d348-82e5-4c4f-a140-d2b3779b912d"", ""6606e54c-f92d-40f6-8257-74977889ccdd"", ""dcf598ca-b5de-47d4-af33-ecabe9eaeee1"", ""1eba3cfe-51cc-460a-8259-bc8bb987f904"")","FALSE"
"1455","57","41370624859","229555212","aileeqt","AileeQT","516575","VALORANT","live","Sunday Fun day 🎀 Queen Reyna bb 💖 !discord","29","2022-10-09T16:45:13Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_aileeqt-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1456","58","40325701321","405739372","wowi","wowi","516575","VALORANT","live","De Chill🔥🔥| Rankeds | !redes  !memide","28","2022-10-09T19:56:41Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_wowi-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"1457","59","47278691229","151588929","blxty_","blxty_","516575","VALORANT","live","!discord","28","2022-10-09T20:07:27Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_blxty_-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1458","60","47273043469","187222497","visxals","Visxals","516575","VALORANT","live","valoranting | 24+ hr stream | !twitter !prime","28","2022-10-08T20:31:16Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_visxals-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1459","61","46159596604","100897701","majorpar","Majorpar","516575","VALORANT","live","I've got my rubber ducky! - !Giveaway !discord","28","2022-10-09T17:27:43Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_majorpar-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"1460","62","40324999225","689043939","minklez","Minklez","516575","VALORANT","live","#MINKFORGAMERSUPPS // VALOR ANTS WOOOOOOO | !gofundme !of !riot !socials !points !gamble","27","2022-10-09T17:29:28Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_minklez-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
